Epoch,AUROC,Accuracy,Precision,Recall,AUPRC,F1
57,0.8212945590994372,0.74375,0.6990291262135923,0.8780487804878049,0.8418173143419536,0.7738095238095238
58,0.8264540337711069,0.76875,0.7419354838709677,0.8414634146341463,0.8435058605310306,0.7745664739884394
59,0.8238787310517268,0.76875,0.7340425531914894,0.8518518518518519,0.8322027366066533,0.7625
60,0.8082512892639475,0.76875,0.7244897959183674,0.8765432098765432,0.7775513219459969,0.7560975609756098
61,0.8026254102203468,0.71875,0.6607142857142857,0.9135802469135802,0.8199468994228715,0.6976744186046511
62,0.83296875,0.76875,0.7311827956989247,0.85,0.847598675244771,0.7295597484276729
63,0.82484375,0.71875,0.6605504587155964,0.9,0.846015900078452,0.7209302325581396
64,0.8312236286919831,0.78125,0.75,0.8518518518518519,0.8425093431618949,0.7636363636363638
65,0.8087499999999999,0.73125,0.6831683168316832,0.8625,0.8193517568616875,0.7455621301775148
66,0.8045312499999999,0.7125,0.6491228070175439,0.925,0.8142895543509224,0.7176470588235294
67,0.8174714799187373,0.725,0.6728971962616822,0.8888888888888888,0.8318871463279816,0.7472527472527474
68,0.8309881175734836,0.75,0.71,0.8658536585365854,0.8485352832173423,0.7790697674418605
69,0.8071573683388029,0.725,0.6728971962616822,0.8888888888888888,0.8306757698546099,0.7295597484276728
70,0.8134083450539147,0.76875,0.7340425531914894,0.8518518518518519,0.8231900675417556,0.7484662576687118
71,0.8271604938271606,0.76875,0.7282608695652174,0.8481012658227848,0.8386821816472207,0.7407407407407407
72,0.8109756097560976,0.73125,0.6822429906542056,0.8902439024390244,0.8168424164508066,0.7317073170731707
73,0.82421875,0.775,0.7291666666666666,0.875,0.8265360702779634,0.7515151515151516
74,0.806910569105691,0.76875,0.7319587628865979,0.8658536585365854,0.8238288245827938,0.7380952380952381
75,0.82359375,0.74375,0.6857142857142857,0.9,0.8223461363349799,0.7630057803468208
76,0.8143459915611814,0.7125,0.6576576576576577,0.9012345679012346,0.8315601458452553,0.735632183908046
77,0.8246875,0.7375,0.6759259259259259,0.9125,0.8329855361221019,0.7647058823529411
78,0.8129687499999998,0.7125,0.6491228070175439,0.925,0.8288040013515087,0.7251461988304093
79,0.8074999999999999,0.7625,0.7142857142857143,0.875,0.804972072051637,0.7500000000000001
80,0.8319262038774233,0.75625,0.7047619047619048,0.9024390243902439,0.8516947391585911,0.7375
81,0.822159712455071,0.75625,0.7333333333333333,0.8148148148148148,0.8386964049604154,0.7515151515151515
82,0.8189493433395872,0.76875,0.7319587628865979,0.8658536585365854,0.8314278802138789,0.7764705882352942
83,0.8112205032036256,0.76875,0.7340425531914894,0.8518518518518519,0.8236972336598015,0.7439024390243902
84,0.8180112570356473,0.725,0.6727272727272727,0.9024390243902439,0.8454557995215424,0.7500000000000001
85,0.8223437500000002,0.75,0.7040816326530612,0.8625,0.8428609330847573,0.7701149425287356
86,0.8242651657285804,0.75625,0.7128712871287128,0.8780487804878049,0.8386103794389727,0.7272727272727273
87,0.818409126426004,0.74375,0.7,0.8641975308641975,0.838911611493401,0.7295597484276728
88,0.8095684803001877,0.725,0.6727272727272727,0.9024390243902439,0.8378301670887709,0.7251461988304092
89,0.8128517823639774,0.76875,0.7227722772277227,0.8902439024390244,0.8272832189971272,0.732919254658385
90,0.80875,0.75,0.7040816326530612,0.8625,0.8159994516516887,0.7542857142857142
91,0.8244215134459039,0.75,0.7058823529411765,0.8780487804878049,0.8455663463250676,0.7590361445783131
92,0.8049695264885137,0.7375,0.7010309278350515,0.8395061728395061,0.8160904707469661,0.7261904761904762
93,0.8207532426941709,0.74375,0.6851851851851852,0.9135802469135802,0.8266683282137728,0.735632183908046
94,0.816846382247226,0.75,0.7157894736842105,0.8395061728395061,0.8296899389505664,0.7236842105263157
95,0.8109375,0.7375,0.6826923076923077,0.8875,0.8130337439154558,0.7283236994219653
96,0.8210657915299265,0.73125,0.6696428571428571,0.9259259259259259,0.8432775354104137,0.738095238095238
97,0.8154399124863257,0.75,0.7029702970297029,0.8765432098765432,0.8319931726892958,0.7272727272727273
98,0.8271604938271604,0.71875,0.6517857142857143,0.9240506329113924,0.843605191429047,0.728395061728395
99,0.8334375,0.71875,0.6521739130434783,0.9375,0.848064663301634,0.7485380116959066
100,0.8102828566963588,0.7125,0.6486486486486487,0.9113924050632911,0.8256912764522828,0.7349397590361445
