Epoch,AUROC,Accuracy,Precision,Recall,AUPRC,F1
1,0.7609001406469761,0.75625,0.8620689655172413,0.6172839506172839,0.7838095529914363,0.7012987012987013
2,0.7809568480300187,0.725,0.6727272727272727,0.9024390243902439,0.7833592380724408,0.725
3,0.798125,0.70625,0.6434782608695652,0.925,0.794435109324847,0.6887417218543047
4,0.7823097358962338,0.7125,0.6576576576576577,0.9012345679012346,0.784163053353533,0.6535947712418301
5,0.8057508985779027,0.71875,0.6636363636363637,0.9012345679012346,0.7935825688394669,0.7225806451612903
6,0.8012820512820512,0.725,0.6759259259259259,0.8902439024390244,0.8027941427231348,0.7027027027027027
7,0.80765625,0.7625,0.7763157894736842,0.7375,0.7895482514581071,0.7453416149068324
8,0.8059071729957805,0.71875,0.6764705882352942,0.8518518518518519,0.8060342088786483,0.7044025157232704
9,0.8172295184490306,0.75625,0.7263157894736842,0.8414634146341463,0.8146264700695742,0.7225806451612903
10,0.8023764853033145,0.6875,0.626984126984127,0.9634146341463414,0.7995949647100532,0.7499999999999999
11,0.8073136427566807,0.675,0.6124031007751938,0.9753086419753086,0.8013985408188576,0.7407407407407407
12,0.7935614939834348,0.71875,0.6764705882352942,0.8518518518518519,0.7818169629412438,0.7329192546583853
13,0.8034375,0.68125,0.6178861788617886,0.95,0.7984272360764275,0.7215189873417722
14,0.79125,0.7375,0.7317073170731707,0.75,0.7586096549382093,0.7317073170731706
15,0.8228580362726704,0.78125,0.7831325301204819,0.7926829268292683,0.8137792603846141,0.7654320987654322
16,0.8332551961243945,0.78125,0.7555555555555555,0.8395061728395061,0.8233291900013576,0.7727272727272727
17,0.8171875000000001,0.75625,0.7662337662337663,0.7375,0.8185357515614504,0.75
18,0.8235661822159712,0.73125,0.6826923076923077,0.8765432098765432,0.823782836701407,0.7411764705882353
19,0.8230973589623378,0.775,0.7922077922077922,0.7530864197530864,0.8226301190980446,0.7701863354037267
20,0.8157524613220815,0.75625,0.7560975609756098,0.7654320987654321,0.8108348172705295,0.7547169811320754
21,0.8239062500000001,0.7625,0.7692307692307693,0.75,0.8154280638268251,0.7469879518072289
22,0.80484375,0.71875,0.6699029126213593,0.8625,0.7779156318796752,0.7329192546583853
23,0.813125,0.75625,0.7411764705882353,0.7875,0.8184138891804781,0.7530864197530863
24,0.8305429510248786,0.75,0.7362637362637363,0.8072289156626506,0.854983549015468,0.7558139534883721
25,0.8196593217690263,0.71875,0.6764705882352942,0.8518518518518519,0.8304960726048354,0.7204968944099378
26,0.8193749999999999,0.75625,0.7252747252747253,0.825,0.8251560523048163,0.75
27,0.82234375,0.71875,0.6699029126213593,0.8625,0.8350682655649366,0.7027027027027027
28,0.8203723986856516,0.75,0.7216494845360825,0.8433734939759037,0.835524287272463,0.7361963190184048
29,0.8253125,0.7375,0.6862745098039216,0.875,0.8358953043442243,0.7529411764705882
30,0.823722456633849,0.7375,0.7096774193548387,0.8148148148148148,0.8433799331149008,0.7515151515151515
31,0.8202844194405375,0.75,0.7157894736842105,0.8395061728395061,0.8281078590122857,0.7682926829268293
32,0.8205128205128205,0.7625,0.7444444444444445,0.8170731707317073,0.8264777171750861,0.7341772151898733
33,0.8099703078606032,0.7625,0.7529411764705882,0.7901234567901234,0.8137061427479552,0.7577639751552795
34,0.8299734333489608,0.73125,0.6698113207547169,0.8987341772151899,0.8255429620275091,0.7530864197530864
35,0.8321875,0.775,0.7444444444444445,0.8375,0.8310350591447364,0.778443113772455
36,0.8138771683075481,0.75,0.7070707070707071,0.8641975308641975,0.8295834346253633,0.7636363636363638
37,0.8173152055008595,0.75625,0.7386363636363636,0.8024691358024691,0.8340773915272353,0.7586206896551724
38,0.8293483356774496,0.775,0.7419354838709677,0.8518518518518519,0.8385603053686109,0.7861271676300579
39,0.808563838099703,0.70625,0.6517857142857143,0.9012345679012346,0.8221529356977514,0.7349397590361447
40,0.8190342240975153,0.76875,0.72,0.8888888888888888,0.8216402202062383,0.717948717948718
41,0.8139062499999999,0.74375,0.7052631578947368,0.8375,0.8194256960209849,0.7317073170731706
42,0.8142700672821155,0.73125,0.7083333333333334,0.8192771084337349,0.8391339714610451,0.7455621301775147
43,0.8218749999999999,0.7375,0.69,0.8625,0.8367716778802614,0.7329192546583853
44,0.8241088180112571,0.75625,0.7362637362637363,0.8170731707317073,0.8353242176033094,0.757396449704142
45,0.8256249999999999,0.75625,0.7029702970297029,0.8875,0.836879083769652,0.7455621301775148
46,0.81671875,0.7,0.6403508771929824,0.9125,0.8269173964968026,0.7303370786516853
47,0.82046875,0.74375,0.693069306930693,0.875,0.8396415891786948,0.7590361445783131
48,0.8250664997652949,0.74375,0.7019230769230769,0.8795180722891566,0.8484053202699493,0.7701149425287357
49,0.8170312500000001,0.73125,0.6796116504854369,0.875,0.8327040861741373,0.7411764705882352
50,0.8215625,0.7375,0.6792452830188679,0.9,0.8361025125244875,0.7630057803468208
51,0.81546875,0.75625,0.7204301075268817,0.8375,0.8297104660773649,0.7204968944099378
52,0.8348179403031722,0.75,0.6952380952380952,0.9012345679012346,0.852454976758301,0.7555555555555555
53,0.8288795124238162,0.75,0.7010309278350515,0.8607594936708861,0.8333863400361567,0.75
54,0.823125,0.74375,0.6893203883495146,0.8875,0.8340781107950919,0.7500000000000001
55,0.8310673542741053,0.775,0.7319587628865979,0.8765432098765432,0.8464811458759522,0.7547169811320754
56,0.8078125,0.725,0.6636363636363637,0.9125,0.8243395928353328,0.7307692307692308
